Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Chris Smalling,eng ENG,DF,25,35,35,3150,35,0,1,0,0,0,8,0,0,0.03,0.03,0,0.03,Matches
Daley Blind,nl NED,DF,25,35,35,3114,34.6,1,1,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,Matches
David de Gea,es ESP,GK,24,34,34,3060,34,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Juan Mata,es ESP,MF,27,38,34,2889,32.1,6,5,5,1,1,5,1,0.19,0.16,0.34,0.16,0.31,Matches
Anthony Martial,fr FRA,MFFW,19,31,29,2632,29.2,11,4,11,0,0,2,0,0.38,0.14,0.51,0.38,0.51,Matches
Wayne Rooney,eng ENG,FWMF,29,28,27,2406,26.7,8,6,7,1,1,4,0,0.3,0.22,0.52,0.26,0.49,Matches
Morgan Schneiderlin,fr FRA,MF,25,29,25,2205,24.5,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches
Matteo Darmian,it ITA,DF,25,28,24,1924,21.4,1,0,1,0,0,8,0,0.05,0,0.05,0.05,0.05,Matches
Michael Carrick,eng ENG,MF,34,28,22,1972,21.9,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Jesse Lingard,eng ENG,MF,22,25,19,1632,18.1,4,1,4,0,0,4,0,0.22,0.06,0.28,0.22,0.28,Matches
Ander Herrera,es ESP,MF,25,27,17,1532,17,3,2,2,1,1,4,0,0.18,0.12,0.29,0.12,0.23,Matches
Memphis Depay,nl NED,MF,21,29,16,1484,16.5,2,0,2,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
Marcos Rojo,ar ARG,DF,25,16,15,1249,13.9,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
Bastian Schweinsteiger,de GER,MF,30,18,13,1202,13.4,1,0,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
Marouane Fellaini,be BEL,MF,27,18,12,1068,11.9,1,0,1,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
Ashley Young,eng ENG,DFMF,30,18,11,1065,11.8,1,2,1,0,0,5,0,0.08,0.17,0.25,0.08,0.25,Matches
Marcus Rashford,eng ENG,FW,17,11,11,855,9.5,5,2,5,0,0,0,0,0.53,0.21,0.74,0.53,0.74,Matches
Antonio Valencia,ec ECU,DF,29,14,8,857,9.5,0,3,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
Cameron Borthwick-Jackson,eng ENG,DF,18,10,6,695,7.7,0,1,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
Phil Jones,eng ENG,DF,23,10,6,530,5.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Luke Shaw,eng ENG,DF,20,5,5,450,5,0,1,0,0,0,1,0,0,0.2,0.2,0,0.2,Matches
Sergio Romero,ar ARG,GK,28,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Guillermo Varela,uy URU,DF,22,4,3,315,3.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Paddy McNair,nir NIR,DF,20,8,3,314,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Timothy Fosu-Mensah,nl NED,DF,17,8,2,257,2.9,0,1,0,0,0,1,0,0,0.35,0.35,0,0.35,Matches
Adnan Januzaj,be BEL,MF,20,5,2,145,1.6,1,0,1,0,0,1,0,0.62,0,0.62,0.62,0.62,Matches
Andreas Pereira,br BRA,MF,19,4,0,84,0.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Donald Love,sct SCO,DFMF,20,1,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Javier Hernández,mx MEX,FW,27,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nick Powell,eng ENG,FWMF,21,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
James Wilson,eng ENG,FW,19,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Will Keane,ie IRL,FWMF,22,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
James Weir,eng ENG,MF,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sean Goss,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,Matches
Sam Johnstone,eng ENG,GK,22,0,0,,,,,,,,,,,,,,,Matches
Joe Riley,eng ENG,DFMF,18,0,0,,,,,,,,,,,,,,,Matches
Joe Rothwell,eng ENG,MF,20,0,0,,,,,,,,,,,,,,,Matches
Axel Tuanzebe,eng ENG,DF,17,0,0,,,,,,,,,,,,,,,Matches